"energy","liveness","tempo","speechiness","acousticness","danceability","duration_ms","loudness"
0.892,0.0997,104.009,0.0411,0.0725,0.539,200640,-4.59
0.47,0.199,80.016,0.15,0.0163,0.74,241400,-11.173
0.11,0.1,129.935,0.0482,0.942,0.536,179435,-17.493
0.586,0.121,101.214,0.0262,0.356,0.524,254293,-5.431
0.884,0.0973,120.012,0.0404,0.00795,0.757,217907,-5.488
0.745,0.116,174.017,0.115,0.064,0.468,196040,-3.671
0.748,0.0516,119.009,0.0509,0.163,0.774,218440,-5.478
0.689,0.384,157.944,0.0676,0.00279,0.725,173975,-5.818
0.653,0.0843,160.021,0.0992,0.167,0.588,179347,-8.032
0.844,0.0538,87.007,0.0633,0.226,0.575,193333,-1.772
0.378,0.28,100.418,0.438,0.835,0.609,233720,-9.828
0.455,0.177,140.181,0.28,0.0542,0.779,153429,-15.025
0.489,0.104,133.15,0.308,0.242,0.785,209453,-9.014
0.855,0.123,160.113,0.0727,0.0594,0.563,194253,-3.715
0.827,0.0764,100.002,0.0478,0.0717,0.622,233813,-5.736
0.759,0.313,99.992,0.0399,0.0767,0.665,200787,-3.694
0.276,0.11,147.613,0.0295,0.819,0.569,261160,-11.431
0.669,0.103,108.078,0.0237,0.0919,0.637,205120,-4.608
0.721,0.824,117.139,0.386,0.062,0.536,191942,-6.44
0.624,0.14,124.075,0.0923,0.224,0.643,234240,-5.437
0.807,0.131,77.079,0.0373,0.128,0.495,278640,-4.231
0.702,0.128,94.006,0.0499,0.0215,0.688,192191,-4.792
0.618,0.355,134.022,0.0455,0.0537,0.662,235947,-5.26
0.877,0.233,107.991,0.0664,0.0375,0.747,166138,-3.782
0.732,0.269,145.992,0.0457,0.00312,0.583,213428,-5.728
0.0565,0.0889,123.994,0.0534,0.965,0.71,275280,-15.099
0.809,0.726,93.95,0.176,0.0116,0.742,213524,-3.591
0.561,0.0551,149.992,0.0795,0.578,0.724,232720,-5.912
0.686,0.11,111.977,0.0869,0.0174,0.755,252142,-6.106
0.702,0.089,124.909,0.0496,0.104,0.588,203686,-4.271
0.855,0.0187,95.975,0.0394,0.0278,0.644,227187,-5.376
0.664,0.11,130.034,0.0283,0.334,0.613,220347,-6.835
0.803,0.0789,109.967,0.0279,0.0081,0.574,206533,-4.064
0.687,0.107,119.816,0.0557,0.223,0.702,238480,-4.339
0.673,0.292,130,0.0932,0.135,0.875,222600,-4.184
0.635,0.0818,107.958,0.0826,0.0184,0.742,188520,-4.848
0.28,0.102,85.794,0.0281,0.468,0.322,248467,-9.367
0.659,0.128,118.805,0.0823,0.0044,0.77,232090,-6.033
0.893,0.111,111.959,0.0375,0.000937,0.616,218947,-3.588
0.682,0.173,121.925,0.356,0.156,0.895,240000,-5.268
0.478,0.122,151.397,0.0272,0.686,0.474,257347,-7.233
0.433,0.135,160.14,0.185,0.108,0.53,194613,-10.598
0.659,0.0799,144.029,0.0307,0.000544,0.569,199893,-6.377
0.563,0.0799,133.986,0.0708,0.283,0.791,224640,-4.86
0.745,0.0542,104.941,0.0385,0.0161,0.604,220573,-4.103
0.726,0.106,76.981,0.0361,0.254,0.515,197947,-4.332
0.793,0.1,100.991,0.0333,0.305,0.687,206507,-3.577
0.749,0.085,91.526,0.0435,0.0558,0.616,185194,-4.454
